原始项目

https://github.com/LeadroyaL/fastjson-blacklist

最后更新

2020-07-24 10:57

已知黑名单

version     hash                    hex-hash            name
1.2.62      1818089308493370394     0x193b2697eaaed41a  org.h2.server.
1.2.62      2164696723069287854     0x1e0a8c3358ff3dae  org.apache.ibatis.datasource.
1.2.62      2653453629929770569     0x24d2f6048fef4e49  org.objectweb.asm.
1.2.62      2836431254737891113     0x275d0732b877af29  flex.messaging.util.concurrent.
1.2.62      3089451460101527857     0x2adfefbbfe29d931  org.apache.ibatis.javassist.
1.2.62      3718352661124136681     0x339a3e0b6beebee9  org.apache.ibatis.ognl.
1.2.62      4046190361520671643     0x3826f4b2380c8b9b  com.mysql.cj.jdbc.MysqlConnectionPoolDataSource
1.2.62      6280357960959217660     0x5728504a6d454ffc  org.apache.ibatis.scripting.
1.2.62      6534946468240507089     0x5ab0cb3071ab40d1  org.apache.commons.proxy.
1.2.62      6734240326434096246     0x5d74d3e5b9370476  com.mysql.cj.jdbc.MysqlXADataSource
1.2.62      7123326897294507060     0x62db241274397c34  org.apache.commons.collections.functors.
1.2.62      8488266005336625107     0x75cc60f5871d0fd3  org.apache.commons.configuration
1.2.66      -2439930098895578154    0xde23a0809a8b9bd6  javax.script.
1.2.66      -582813228520337988     0xf7e96e74dfa58dbc  javax.sound.
1.2.66      -26639035867733124      0xffa15bf021f1e37c  javax.print.
1.2.66      386461436234701831      0x55cfca0f2281c07   javax.activation.
1.2.66      1153291637701043748     0x100150a253996624  javax.tools.
1.2.66      1698504441317515818     0x17924cca5227622a  javax.management.
1.2.66      7375862386996623731     0x665c53c311193973  org.apache.xbean.
1.2.66      7658177784286215602     0x6a47501ebb2afdb2  org.eclipse.jetty.
1.2.66      8055461369741094911     0x6fcabf6fa54cafff  javax.naming.
1.2.67      -7775351613326101303    0x941866e73beff4c9  org.apache.shiro.realm.
1.2.67      -6025144546313590215    0xac6262f52c98aa39  org.apache.http.conn.
1.2.67      -5939269048541779808    0xad937a449831e8a0  org.quartz.
1.2.67      -3975378478825053783    0xc8d49e5601e661a9  org.apache.http.impl.
1.2.67      -2378990704010641148    0xdefc208f237d4104  com.ibatis.
1.2.67      -905177026366752536     0xf3702a4a5490b8e8  org.apache.catalina.
1.2.67      2660670623866180977     0x24ec99d5e7dc5571  org.apache.http.auth.
1.2.67      2731823439467737506     0x25e962f1c28f71a2  br.com.anteros.
1.2.67      3637939656440441093     0x327c8ed7c8706905  com.caucho.
1.2.67      4254584350247334433     0x3b0b51ecbf6db221  org.apache.http.cookie.
1.2.67      5596129856135573697     0x4da972745feb30c1  org.apache.activemq.jms.pool.
1.2.67      6854854816081053523     0x5f215622fb630753  org.mortbay.jetty.
1.2.68      -3077205613010077203    0xd54b91cc77b239ed  org.apache.shiro.jndi.
1.2.68      -2825378362173150292    0xd8ca3d595e982bac  org.apache.ignite.cache.jta.
1.2.68      2078113382421334967     0x1cd6f11c6a358bb7  javax.swing.J
1.2.68      6007332606592876737     0x535e552d6f9700c1  org.aoju.bus.proxy.provider.
1.2.68      9140390920032557669     0x7ed9311d28bf1a65  java.awt.p
1.2.68      9140416208800006522     0x7ed9481d28bf417a  java.awt.i
1.2.69      -8024746738719829346    0x90a25f5baa21529e  java.io.Serializable
1.2.69      -5811778396720452501    0xaf586a571e302c6b  java.io.Closeable
1.2.69      -3053747177772160511    0xd59ee91f0b09ea01  oracle.jms.AQ
1.2.69      -2114196234051346931    0xe2a8ddba03e69e0d  java.util.Collection
1.2.69      -2027296626235911549    0xe3dd9875a2dc5283  java.lang.Iterable
1.2.69      -2939497380989775398    0xd734ceb4c3e9d1da  java.lang.Object
1.2.69      -1368967840069965882    0xed007300a7b227c6  java.lang.AutoCloseable
1.2.69      2980334044947851925     0x295c4605fd1eaa95  java.lang.Readable
1.2.69      3247277300971823414     0x2d10a5801b9d6136  java.lang.Cloneable
1.2.69      5183404141909004468     0x47ef269aadc650b4  java.lang.Runnable
1.2.69      7222019943667248779     0x6439c4dff712ae8b  java.util.EventListener
1.2.70      -5076846148177416215    0xb98b6b5396932fe9  org.apache.commons.collections4.Transformer
1.2.70      -4703320437989596122    0xbeba72fb1ccba426  org.apache.commons.collections4.functors
1.2.70      -4314457471973557243    0xc41ff7c9c87c7c05  org.jdom2.transform.
1.2.70      -2533039401923731906    0xdcd8d615a6449e3e  org.apache.hadoop.shaded.com.zaxxer.hikari.
1.2.70      156405680656087946      0x22baa234c5bfb8a   com.p6spy.engine.
1.2.70      1214780596910349029     0x10dbc48446e0dae5  org.apache.activemq.pool.
1.2.70      3085473968517218653     0x2ad1ce3a112f015d  org.apache.aries.transaction.
1.2.70      3129395579983849527     0x2b6dd8b3229d6837  org.apache.activemq.ActiveMQConnectionFactory
1.2.70      4241163808635564644     0x3adba40367f73264  org.apache.activemq.spring.
1.2.70      7240293012336844478     0x647ab0224e149ebe  org.apache.activemq.ActiveMQXAConnectionFactory
1.2.70      7347653049056829645     0x65f81b84c1d920cd  org.apache.commons.jelly.
1.2.70      7617522210483516279     0x69b6e0175084b377  org.apache.axis2.transport.jms.

未知黑名单

version     hash                    hex-hash            name

1.2.42      33238344207745342       0x761619136cc13e
1.2.67      -831789045734283466     0xf474e44518f26736
